Node,Time,Measurement,Setpoint
03,0.10023760795593262,0.0,40.16875
03,2.5615227222442627,0.0,40.16875
03,6.0453877449035645,0.0,40.16875
03,8.41088604927063,0.0,40.16875
03,10.711526155471802,0.0,40.16875
03,13.04505705833435,0.0,40.16875
03,15.458857536315918,0.0,40.16875
03,17.838369369506836,0.0,40.16875
03,20.188312530517578,0.0,40.16875
03,22.472363233566284,0.0,100.0
03,24.695053815841675,0.0,96.365625
03,26.931143045425415,0.0,96.365625
04,0.5952179431915283,0.0,16.6625
04,3.054988384246826,0.0,16.6625
04,6.476151943206787,0.0,16.6625
04,8.809542179107666,0.0,16.6625
04,11.126638174057007,0.0,16.6625
04,13.476195812225342,0.0,16.6625
04,15.904700517654419,0.0,18.159375
04,18.268802404403687,0.0,36.965625
04,20.634718894958496,0.0,95.9375
04,22.85593605041504,0.0,95.9375
04,25.093308448791504,0.0,95.9375
04,27.34601092338562,0.0,95.9375
05,1.0904042720794678,0.0,0.0
05,3.5666041374206543,0.0,0.0
05,6.956349849700928,0.0,0.0
05,9.273470640182495,0.0,14.315625
05,11.606632232666016,0.0,14.315625
05,13.955103635787964,0.0,75.425
05,16.398845911026,0.0,97.221875
05,18.732389211654663,0.0,97.221875
05,21.049154043197632,0.0,97.221875
05,23.286903619766235,0.0,97.221875
05,25.524461269378662,0.0,97.221875
05,27.792761087417603,0.0,97.221875
